T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
97.0,0.12055408147472138,0.13188562673327425,0.007657254246096355,0.074913318517746,0.006998203839105736,0.008084644398336704,-0.013319607167979815,-0.0308195251247449,-0.004505818218273005,-0.058672521726322306,-0.07860607632690987,0.13983321496894627,0.10957935528859983,0.08632551804229346,0.008627780401348342
98.0,0.1227057251644214,0.12481396788377011,-0.0003560836173904595,0.06716081554051104,0.006792349231254065,0.007857993364722397,-0.012749442027697337,-0.03758528295612963,-0.00621196554931577,-0.0712705655390916,-0.0905013345608123,0.14160409638373203,0.10935427140531136,0.09313130396344477,0.006548065115557879
99.0,0.1191373213621806,0.11666684422888574,-0.005472145519642377,0.05898157441712453,0.005624898849608272,0.007666826914038452,-0.013162041885320407,-0.05589308247064459,-0.007405406350093624,-0.07313150726475658,-0.0895788756858092,0.13186476072325404,0.09911323814084055,0.07902877761843172,0.006687211718575465
100.0,0.10479887140139206,0.10960025785245744,-0.004073401329768298,0.05715594928749557,0.005130315664504254,0.005287614866857219,-0.012717300126000397,-0.06231203254768351,-0.007291091846184326,-0.07280800334381976,-0.08843300334381975,0.12514671624932736,0.08792145273011286,0.07176109500915544,0.006252473134546089
101.0,0.09778702425151857,0.098147661305137,-0.01833887743013519,0.049103964398171406,0.003872577263158462,0.00328598828933353,-0.013261546325043852,-0.06926156737082668,-0.007602957203986946,-0.06968577525455186,-0.08571141628019288,0.11883511339292632,0.07927704092103799,0.06370940185882167,0.00690591538559777
102.0,0.09675033980242508,0.09335886458257986,-0.020398741732049343,0.0489484544249198,0.003210233239719163,-0.0005727823245272451,-0.01517688995558796,-0.0735405795619734,-0.007438572527554296,-0.06954396878724342,-0.08220219663534468,0.10813285436888134,0.07548740415388064,0.06153120237598094,0.0055088355946286876
103.0,0.10200007440272094,0.08756705807095541,-0.011274104865569545,0.040726536769690326,-0.00044863496282265163,-0.0020121671493093076,-0.01538354870660722,-0.0804499446265541,-0.007980710616611193,-0.060319580869681165,-0.07028635827831903,0.11412445314705041,0.07633701612385077,0.06671480856842493,0.001989265524203357
104.0,0.09732266571913488,0.08195463506929354,-0.015131764657378376,0.029112463000559807,-0.002472885753193905,-0.0012371480263441367,-0.02360618800699265,-0.07735161903867017,-0.0131158855003974,-0.061530540499348294,-0.07451755332078734,0.09966416572730696,0.06496369902948718,0.058267435938205,-0.001453106810701115
105.0,0.09616684785834284,0.07538156499141327,-0.01717174421342835,0.028802855199927035,-0.004271764564883386,-5.7058923901159816e-05,-0.019178570099142762,-0.08383070575107075,-0.020412208453068494,-0.06587004898189043,-0.07567397038386178,0.08299382521213192,0.05610760015844633,0.05562900474912081,-0.002119790647719865
106.0,0.09678999994214763,0.06173855718153511,-0.02209560303685217,0.029802161222151666,-0.005458356882372892,-0.0015652768794775262,-0.021687108730829702,-0.08447726080299744,-0.022860993969510635,-0.0735207606287768,-0.08372484208797146,0.08302699106276853,0.05011595083155873,0.05606009573946309,-0.004690897085178912
