Estimator,Size,Min,Max,Avg,Stdev,Sweet Oct. Start,Sweet Oct. Coverage
boeck2015/tempodetector2016_default,698,57.69,214.29,117.50957020057307,31.515189871574727,74.0,0.826647564469914
boeck2019/multi_task,685,73.23,211.4,130.6061313868613,39.90811778301142,72.0,0.7065693430656934
boeck2019/multi_task_hjdb,685,52.38,212.21,130.79363503649634,39.93233342787849,73.0,0.7036496350364964
boeck2020/dar,685,73.2,214.25,129.89705109489051,39.68976765116578,72.0,0.7138686131386861
davies2009/mirex_qm_tempotracker,698,60.0927,206.719,120.293696991404,28.621089088486507,84.0,0.8696275071633238
echonest/version_3_2_1,697,43.201,207.6,104.3654705882353,31.46534097274495,67.0,0.7503586800573888
gkiokas2012/default,698,40.0,207.0,98.23209169054441,22.773427124458355,67.0,0.8567335243553008
klapuri2006/percival2014,698,59.745303,169.441598,106.17842967765043,16.643683010591726,76.0,0.994269340974212
oliveira2010/ibt,698,83.0,167.0,106.5272206303725,17.34360254452386,81.0,0.998567335243553
percival2014/stem,698,57.9044,150.341,101.90920487106017,18.04006937760137,68.0,0.9555873925501432
scheirer1998/percival2014,647,61.3453,181.818,114.09508423493045,31.464351791268555,69.0,0.7727975270479135
schreiber2014/default,698,55.83072,142.73106,101.77355839684813,17.17117487628652,69.0,0.9641833810888252
schreiber2017/ismir2017,698,60.246704,208.49776,122.75447672063038,36.07957223137424,72.0,0.7822349570200573
schreiber2017/mirex2017,698,42.267323,211.96747,126.02478036819484,38.12030921874058,72.0,0.7421203438395415
schreiber2018/cnn,698,71.0,216.0,129.7893982808023,39.490660348121196,70.0,0.7177650429799427
schreiber2018/fcn,698,62.0,232.0,128.65042979942695,38.99940596374763,74.0,0.7277936962750716
schreiber2018/ismir2018,698,75.0,212.0,126.28939828080229,37.97207955523799,74.0,0.7564469914040115
sun2021/default,698,60.0,215.0,129.3295128939828,39.544613891833734,73.0,0.7191977077363897
zplane/auftakt_v3,698,65.9,166.5,105.00902578796561,17.501920088865635,74.0,0.9813753581661891
