τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,,,,,,,,,,,
0.005,0.0037503361752588647,0.0027737983739913323,0.0026342389987058165,0.031635707745692555,-0.0011109902633366137,-0.0010625756730793792,-0.0010625756730793792,-0.0010625756730793792,-0.002538971614169904,-0.002538971614169904,-0.002538971614169904
0.01,0.0037503361752588647,0.0027737983739913323,0.0026342389987058165,0.031635707745692555,-0.0011109902633366137,-0.0010625756730793792,-0.0010625756730793792,-0.0010625756730793792,-0.002538971614169904,-0.002538971614169904,-0.002538971614169904
0.015,0.0037503361752588647,0.0027737983739913323,0.0026342389987058165,0.031635707745692555,-0.0011109902633366137,-0.0010625756730793792,-0.0010625756730793792,-0.0010625756730793792,-0.002538971614169904,-0.002538971614169904,-0.002538971614169904
0.02,-0.0020699025601308312,0.0010602321349731446,0.0037922629690124595,0.028578704536059152,6.583194756505513e-05,-2.7777907685991716e-05,0.00031204080642761026,0.00031204080642761026,-0.0016163774337921045,-0.0016163774337921045,-0.0016163774337921045
0.025,-0.0015460643313126108,0.0012781182796081216,0.00212851033103501,0.024605983535298494,-0.0010760785030810443,-0.001265443097648422,-0.00080034336094206,-0.00080034336094206,-0.00222113704932927,-0.00222113704932927,-0.00222113704932927
0.03,-0.0015460643313126108,0.0012781182796081216,0.00212851033103501,0.024605983535298494,-0.0010760785030810443,-0.001265443097648422,-0.00080034336094206,-0.00080034336094206,-0.00222113704932927,-0.00222113704932927,-0.00222113704932927
0.035,0.037570743523509344,-0.023130906942113397,-0.009343860311719653,0.015270992601999172,0.03718069184198008,0.017822737872267364,-0.002316047808252967,0.03541462979158486,-0.023573289817973,-0.020967461876393836,-0.01949930369518207
0.04,0.0670250760633828,0.01527883208138292,0.027340026956566624,0.01943905171627971,0.050163941678589494,0.04939155017350538,0.03204750156208706,0.0639734595311806,-0.01763684082101778,0.017331614777363044,-0.011750478738091751
0.045,0.0519683667368994,-0.016117781142245626,-0.0030175218265282486,0.04657480827885668,0.004533575826272425,-0.024823430200498642,-0.018310583782392913,-0.0010173565491339114,-0.008182341878374005,-0.035488821353661215,-0.06994968974422654
0.05,0.035328051516048106,-0.01726162464105389,0.006412382381029515,0.014358099995644791,-0.014109741901041232,-0.04073464201937551,-0.018505015041657524,-0.007287785022197754,-0.014891258395313281,-0.03425064717300582,-0.05876507750827359
0.055,0.025187870132856737,-0.016461319637775914,0.0016532190903456193,0.019700653094964826,-0.0004963345382780301,-0.048266596768693694,-0.03030930045959894,-0.02183914656398579,-0.017815896441737138,-0.039345208795150896,-0.06123766165296847
0.06,0.018937554326450022,-0.015512326149620633,0.00031866195802445824,0.03809617931868426,-0.00016699769859881508,-0.04728434845139887,-0.027616579519660553,-0.02058204210132108,-0.023551399957927974,-0.035180565975163586,-0.05614085004751861
0.065,0.018330065379561354,0.0004243053138723343,-0.005048363756606837,0.04147018728040796,0.005945450532209763,-0.04421460547674174,-0.026954420623129364,-0.021025312080367453,-0.030631129253345785,-0.035229772845891544,-0.0517786565772424
0.07,0.012032741283308298,-0.0044648375449753966,-0.009176218277391367,0.06030015434790335,-0.0005718783644149468,-0.036090362827275915,-0.016259359706231023,-0.009295520886629913,-0.028655386258789776,-0.031632923637406454,-0.03809102442400948
0.075,0.011952815811092811,-0.002889204718426363,-0.006704216113036564,0.05507980404247098,0.007808395312576561,-0.03230172325077009,-0.01263970061651724,-0.006211541706116222,-0.019390300741806914,-0.029065423532189702,-0.03393657010330786
0.08,0.010160858820126201,-0.0008507236094546308,-0.004560261061190092,0.05114644656150259,0.001904606577501569,-0.02367653708367266,-0.01265206964712178,-0.0030366849519826156,-0.014486834152968928,-0.02408036102388838,-0.025139034581397192
0.085,0.00836999861424651,-0.008495917845084567,-0.015966727213946725,0.04417569513800566,0.005697596667198911,-0.031266015508159065,-0.01175685792101703,-0.011756858050193561,-0.011286696454647981,-0.01828405587319176,-0.028718827266771763
0.09,0.008633380980689212,-0.007393473364666797,-0.014620390190102018,0.04784693157147231,-0.00011783444770857766,-0.02728667905871634,-0.011540362159894449,-0.015087692011336725,-0.013811477593544416,-0.022950477804342596,-0.024327527576677277
0.095,0.010679387045981174,-0.008963107258125306,-0.015141544670186967,0.048228467757650335,-0.008371020222195696,-0.025254672703414895,-0.019854153440894386,-0.023122165981199476,-0.02250986342881047,-0.02983693711663636,-0.025488659150898974
0.1,0.008361983001312901,-0.006471411251066506,-0.01583632216965102,0.04658798993978638,-0.013288953589556724,-0.024316328257481527,-0.02253596710776847,-0.028777133212261632,-0.023496094893833492,-0.020251426341335532,-0.031808594050337084
