Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0,-0.006207908994538007,0.00033178170597128313,0.0033827576483397336,0.021677462575895517,-0.002058028989699245,0.0014419741739069617,-0.007472302801146199,-0.012497216783966966,-0.00023752322277266014,,-0.0022205965115118568,-0.0022205965115118568,-0.0022205965115118568,0.0014419741739069617,0.0014419741739069617,0.0014419741739069617,-0.001335110496666826
1,0.01121762258964183,0.0023031362438648154,0.0013737892170333174,0.023262754879511054,-0.0007892594450584836,-0.00037035168556993274,0.005775532077755284,-0.012052156733205194,0.001431890948415392,0.007970793332777743,-0.0003408000091719684,-0.0003408000091719684,-0.0003408000091719684,-0.00037035168556993274,-0.00037035168556993274,-0.00037035168556993274,-0.0015342848192058062
2,-0.015425231594150749,-0.00596342508133315,-0.0052899503748421025,0.0018631191178522632,-0.005200177496502461,-0.0003607188519570339,0.0018655645697996841,-0.0003607188519570339,-0.002632794584666015,-0.0010654629513562758,-0.0037810495866376637,-0.003339097991403339,-0.003339097991403339,-0.011587974275211198,-0.011587974275211198,-0.011587974275211198,-0.003719730941871913
3,-0.003068025074170359,0.0023463176343037425,0.0021211252447280024,0.014220325637832612,-0.0005162405481347438,0.0007692322447689617,-0.003699135930419033,0.011996487668023295,-0.0037010240367022886,-0.004707612051298803,0.0014866818942759572,0.0014866818942759572,0.0014866818942759572,0.0007692322447689617,0.0007692322447689617,0.0007692322447689617,-0.0014867416955988446
4,0.014950341465969701,0.0024312958187265475,0.004292838065248947,0.02699547375583894,0.005478318746551223,0.0033623671907580155,0.00950825095408318,-0.008319437856877328,0.0008470941483762059,0.01170351220910552,0.003391918867155962,0.003391918867155962,0.003391918867155962,0.0033623671907580155,0.0033623671907580155,0.0033623671907580155,0.0033623671907580155
5,-0.004355270970419105,0.0025797555786648036,0.003285540554772763,0.019130931842512456,0.0006865474345339521,3.606692518649264e-05,0.004780875236367031,-0.014177792294514454,0.0012095472738265119,0.002240856107787954,5.6787837508468315e-05,5.6787837508468315e-05,5.6787837508468315e-05,3.606692518649264e-05,3.606692518649264e-05,3.606692518649264e-05,3.606692518649264e-05
6,0.007010467289277137,0.0003590260887831065,0.0011921352191059638,0.01746916715412683,-0.005854456959226001,0.00767392788542085,0.005294305531892537,0.024162050673989785,-0.0007547589613394917,0.2713576767125686,-0.004490878633139514,-0.004490878633139514,-0.004490878633139514,0.00767392788542085,0.00767392788542085,0.00767392788542085,-0.0006413403265828098
7,-0.0043360373007660415,0.0011313505453264118,0.0008055202597366025,0.44157962063630174,0.014596888456079073,7.213294873590931e-05,-0.0025165082893509275,0.008200013832136126,-0.014794682016827555,0.0228281235499549,0.00034783252392856504,0.0009904379776026302,0.0009904379776026302,7.213294873590931e-05,7.213294873590931e-05,7.213294873590931e-05,7.213294873590931e-05
8,-0.012072832300575133,0.0001382516502992039,0.0032820019928887076,0.007031244931952639,0.00015255693426813435,0.0022824606764949365,-0.007047914967823164,0.0022824606764949365,-3.3422822263300634e-05,0.0027109203264953693,-0.00031100643598663705,-0.00031100643598663705,-0.00031100643598663705,0.0022824606764949365,0.0022824606764949365,0.0022824606764949365,0.0008533421436950087
9,0.008092359030289898,0.0005707716977471599,0.0039024651248658767,0.027196436262817463,0.005160711467233153,-0.0064072106648252304,-0.0008219240863041123,-0.0064072106648252304,-0.0008221273154872752,0.006879985927922434,0.0028278931371068334,0.00396902057679394,0.00396902057679394,0.008092359030289898,0.008092359030289898,0.008092359030289898,0.006648942160621208
