Estimator,Rock,Pop,International,Instrumental,Hip-Hop,Folk,Experimental,Electronic
boeck2015/tempodetector2016_default,0.938938938938939,0.934,0.878,0.835,0.965,0.881,0.6086086086086087,0.9409409409409409
davies2009/mirex_qm_tempotracker,0.8668668668668669,0.874,0.794,0.725,0.927,0.76,0.5475475475475475,0.8678678678678678
percival2014/stem,0.923923923923924,0.909,0.859,0.804,0.948,0.812,0.5715715715715716,0.9259259259259259
schreiber2014/default,0.9159159159159159,0.927,0.863,0.822,0.96,0.874,0.6126126126126126,0.934934934934935
schreiber2017/ismir2017,0.9209209209209209,0.929,0.846,0.828,0.96,0.873,0.5985985985985987,0.9359359359359359
schreiber2017/mirex2017,0.9209209209209209,0.932,0.85,0.829,0.962,0.873,0.6046046046046046,0.9379379379379379
schreiber2018/cnn,0.9309309309309309,0.926,0.882,0.845,0.97,0.901,0.6336336336336337,0.94994994994995
schreiber2018/fcn,0.9379379379379379,0.934,0.894,0.844,0.974,0.881,0.6336336336336337,0.950950950950951
