Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
boeck2015/tempodetector2016_default,1.0,0.5828108977074775,0.6174169029902155,0.22385792105073268,0.05403594563758562,0.7574124056605331,0.06776385869748518,0.7561160506686748,0.46290036975430604,0.014503791066962575,0.02037860581131726,0.24642482602923835,0.4697495732462784,0.6795819787381305,0.31677802692049767,0.21390628957749278,0.798286382228202,0.6876806821355654
boeck2019/multi_task,0.5828108977074775,1.0,0.8774408221043126,0.2000887236764061,0.1603626932328568,0.7758759596460607,0.13249619856191594,0.6059320276783531,0.6257957076921743,0.07524133721595229,0.04091656415000566,0.19388007598926654,0.7240108068421749,0.9261819026501927,0.47233257575460774,0.3898897677752182,0.9603432797215041,0.5350495015442167
boeck2019/multi_task_hjdb,0.6174169029902155,0.8774408221043126,1.0,0.18313283558970092,0.11826920321392495,0.6195743306306205,0.14132605930364459,0.6344047338833214,0.5932821083413347,0.036697926751760916,0.03136141593793722,0.20220122082575806,0.6270369339070279,0.8598290571933215,0.43253639732082094,0.3612803872809599,0.9754789824903813,0.5850994559661481
boeck2020/dar,0.22385792105073268,0.2000887236764061,0.18313283558970092,1.0,0.016954173433898448,0.7527414524973519,0.018391433891523683,0.8194553210462918,0.25441307467354685,0.005312623209295376,0.01011059982126014,0.6140810906946471,0.22801239224961684,0.33096576682715484,0.19135343383074166,0.09401517672077593,0.44173966984195046,0.9391306549953191
davies2009/mirex_qm_tempotracker,0.05403594563758562,0.1603626932328568,0.11826920321392495,0.016954173433898448,1.0,0.04803386389964918,0.9613503014601483,0.09094061005208394,0.55826761903746,0.8248340360364566,0.2332063082926786,0.03570034160140431,0.3837577592201221,0.27540545058533195,0.6542523391055614,0.550984048720282,0.17033265171092984,0.11956683810746739
echonest/version_3_2_1,0.7574124056605331,0.7758759596460607,0.6195743306306205,0.7527414524973519,0.04803386389964918,1.0,0.1280083134627895,0.9844294565942674,0.4789005661585657,0.060019064992168206,0.019829504819506225,0.5478134547545304,0.34652145875804186,0.647857359450772,0.3465280917424072,0.20975622327197796,0.8043521500569772,0.7065345711272769
gkiokas2012/default,0.06776385869748518,0.13249619856191594,0.14132605930364459,0.018391433891523683,0.9613503014601483,0.1280083134627895,1.0,0.08929346980681921,0.5613604214246768,0.7993516435035695,0.18684366494552276,0.021085606513622537,0.32542782061227327,0.24502681355229583,0.6367282405443111,0.5465535075337236,0.15772509184398045,0.07475191600167401
klapuri2006/percival2014,0.7561160506686748,0.6059320276783531,0.6344047338833214,0.8194553210462918,0.09094061005208394,0.9844294565942674,0.08929346980681921,1.0,0.446036143473836,0.06950192974913454,0.019486607156376456,0.5780489862138751,0.43972991742528766,0.5771348141810251,0.3427908665612426,0.29357331740742615,0.6747961009906852,0.9085277924957682
oliveira2010/ibt,0.46290036975430604,0.6257957076921743,0.5932821083413347,0.25441307467354685,0.55826761903746,0.4789005661585657,0.5613604214246768,0.446036143473836,1.0,0.5028806612915844,0.14512957648921831,0.20687804334703816,0.833630020928416,0.6946912062352719,0.9053143396102361,0.9257460305626642,0.6263590938078347,0.4062536745800036
percival2014/stem,0.014503791066962575,0.07524133721595229,0.036697926751760916,0.005312623209295376,0.8248340360364566,0.060019064992168206,0.7993516435035695,0.06950192974913454,0.5028806612915844,1.0,0.3387591364437328,0.005916995261289669,0.1795535765406168,0.13995362647084242,0.44842562837966293,0.36429517778563425,0.1359776411600638,0.0846625850851311
scheirer1998/percival2014,0.02037860581131726,0.04091656415000566,0.03136141593793722,0.01011059982126014,0.2332063082926786,0.019829504819506225,0.18684366494552276,0.019486607156376456,0.14512957648921831,0.3387591364437328,1.0,0.007257480733943263,0.0745230755300538,0.0437703893614859,0.1536688065740611,0.16320605827373783,0.042868510887123935,0.011022387435231339
schreiber2014/default,0.24642482602923835,0.19388007598926654,0.20220122082575806,0.6140810906946471,0.03570034160140431,0.5478134547545304,0.021085606513622537,0.5780489862138751,0.20687804334703816,0.005916995261289669,0.007257480733943263,1.0,0.15173133152153523,0.2131425653210262,0.10638349007010046,0.05093849999194489,0.3290825831850118,0.6996763409312294
schreiber2017/ismir2017,0.4697495732462784,0.7240108068421749,0.6270369339070279,0.22801239224961684,0.3837577592201221,0.34652145875804186,0.32542782061227327,0.43972991742528766,0.833630020928416,0.1795535765406168,0.0745230755300538,0.15173133152153523,1.0,0.7500843196292275,0.7084847427733711,0.6894275931431415,0.7425330643928632,0.4463985581156009
schreiber2017/mirex2017,0.6795819787381305,0.9261819026501927,0.8598290571933215,0.33096576682715484,0.27540545058533195,0.647857359450772,0.24502681355229583,0.5771348141810251,0.6946912062352719,0.13995362647084242,0.0437703893614859,0.2131425653210262,0.7500843196292275,1.0,0.5976946789426598,0.5486056434480124,0.9098943812496734,0.5358888943158078
schreiber2018/cnn,0.31677802692049767,0.47233257575460774,0.43253639732082094,0.19135343383074166,0.6542523391055614,0.3465280917424072,0.6367282405443111,0.3427908665612426,0.9053143396102361,0.44842562837966293,0.1536688065740611,0.10638349007010046,0.7084847427733711,0.5976946789426598,1.0,0.9629485083324826,0.43765419824496843,0.3610113919258685
schreiber2018/fcn,0.21390628957749278,0.3898897677752182,0.3612803872809599,0.09401517672077593,0.550984048720282,0.20975622327197796,0.5465535075337236,0.29357331740742615,0.9257460305626642,0.36429517778563425,0.16320605827373783,0.05093849999194489,0.6894275931431415,0.5486056434480124,0.9629485083324826,1.0,0.3957071548749439,0.2713636416696751
schreiber2018/ismir2018,0.798286382228202,0.9603432797215041,0.9754789824903813,0.44173966984195046,0.17033265171092984,0.8043521500569772,0.15772509184398045,0.6747961009906852,0.6263590938078347,0.1359776411600638,0.042868510887123935,0.3290825831850118,0.7425330643928632,0.9098943812496734,0.43765419824496843,0.3957071548749439,1.0,0.6070160771276459
zplane/auftakt_v3,0.6876806821355654,0.5350495015442167,0.5850994559661481,0.9391306549953191,0.11956683810746739,0.7065345711272769,0.07475191600167401,0.9085277924957682,0.4062536745800036,0.0846625850851311,0.011022387435231339,0.6996763409312294,0.4463985581156009,0.5358888943158078,0.3610113919258685,0.2713636416696751,0.6070160771276459,1.0
