Tempo (BPM),boeck2015/tempodetector2016_default,boeck2015/tempodetector2016_default_lowerci,boeck2015/tempodetector2016_default_upperci,davies2009/mirex_qm_tempotracker,davies2009/mirex_qm_tempotracker_lowerci,davies2009/mirex_qm_tempotracker_upperci,percival2014/stem,percival2014/stem_lowerci,percival2014/stem_upperci,schreiber2014/default,schreiber2014/default_lowerci,schreiber2014/default_upperci,schreiber2017/ismir2017,schreiber2017/ismir2017_lowerci,schreiber2017/ismir2017_upperci,schreiber2017/mirex2017,schreiber2017/mirex2017_lowerci,schreiber2017/mirex2017_upperci,schreiber2018/cnn,schreiber2018/cnn_lowerci,schreiber2018/cnn_upperci,schreiber2018/fcn,schreiber2018/fcn_lowerci,schreiber2018/fcn_upperci,schreiber2018/ismir2018,schreiber2018/ismir2018_lowerci,schreiber2018/ismir2018_upperci
37.26708074534163,0.199914216459817,-0.18517263767324732,0.5850010705928813,0.006672389612777718,-0.32690228481443123,0.34024706403998667,0.14585359859286956,-0.1955258301063263,0.4872330272920654,0.3348921700698238,-0.035588446025987985,0.7053727861656356,-0.01871782121336696,-0.5686050380089784,0.5311693955822445,-0.031482144998685624,-0.5942304179525342,0.5312661279551629,0.4189588323855188,0.09524934127831064,0.7426683234927269,0.24831098719395514,-0.11253940416222805,0.6091613785501383,0.009235726055946691,-0.3328765616900936,0.351348013801987
38.48554191803622,0.21902019378778076,-0.15180912037765582,0.5898495079532173,0.005142113918638502,-0.3077628651865231,0.31804709302380013,0.16914615166144542,-0.15959397035520434,0.4978862736780952,0.34534605663929363,-0.015161283002660009,0.7058533962812472,-0.03188929799877399,-0.5391238714397966,0.47534527544224864,-0.04563829475367026,-0.5647363415309883,0.4734597520236478,0.4240115150602865,0.10679822182668758,0.7412248082938855,0.2605806610610901,-0.09055569788658668,0.6117170200087669,0.025899761745307615,-0.30700292021916936,0.3588024437097846
39.7040030907308,0.23809457966118092,-0.11867865327600885,0.5948678125983706,0.0035970550075288266,-0.2894087998365118,0.29660290985156945,0.19241514717754082,-0.12386426129371658,0.5086945556487983,0.3557869418903178,0.005150127925379611,0.706423755855256,-0.04483919210753645,-0.5130289102772294,0.42335052606215656,-0.05944854160156249,-0.5385885311617754,0.41969144795865043,0.42906013951011446,0.11829846744758882,0.73982181157264,0.27284063311091383,-0.06868177331482817,0.6143630395366558,0.04256321495027665,-0.28122474420844223,0.36635117410899554
40.92246426342539,0.2571213537431633,-0.08582589856606648,0.6000686060523931,0.0020306663885100162,-0.271974776178703,0.27603610895572306,0.21564838797759817,-0.08837429109009415,0.5196710670452904,0.3662083766144304,0.025328767476058778,0.7070879857528021,-0.05743790909527752,-0.4906459993456501,0.3757701811550951,-0.07272170067889422,-0.5160618933072414,0.370618491949453,0.4341027064682924,0.12974494603693665,0.7384604668996482,0.28508605968927725,-0.046932769417595166,0.6171048887961497,0.05922568388090649,-0.2555521961530246,0.3740035639148376
42.14092543611998,0.276084495696873,-0.0532957873450694,0.6054647787388154,0.0004364015706425084,-0.25558018419471024,0.25645298733599525,0.23883367689805912,-0.053161886291910265,0.5308292400880286,0.37660391160316514,0.045357375039281556,0.7078504481670487,-0.06955585451762059,-0.47206623916089785,0.3329545301256567,-0.08526658712219787,-0.49719109979583254,0.3266579255514368,0.43913721666810956,0.14113239734620964,0.7371420359900095,0.29731209714203094,-0.02532406022050504,0.6199482545045669,0.07588676674724903,-0.22999566139715738,0.38176919489165545
43.35938660881456,0.29496798518545536,-0.02113350962996735,0.611069480000878,-0.0011922859370124828,-0.24032480264881234,0.23794023077478738,0.2619588167753656,-0.018265102979015402,0.5421827365297466,0.386967097648056,0.06521843213131612,0.7087157631647958,-0.08106343393018889,-0.45708467355349314,0.29495780569311536,-0.09689201606800552,-0.4817078414386681,0.2879238093026571,0.44416167084285546,0.15245542267567075,0.7358679190100401,0.3095139018150256,-0.0038712709196776496,0.6228990745497288,0.09254606175935648,-0.2045657634128964,0.38965788693160935
44.57784778150915,0.31375578593737274,0.01061546511661432,0.6168961067581311,-0.0028619398388652906,-0.22628495369099405,0.22056107401326347,0.28501159637135176,0.016277755091684,0.5537454376510196,0.3972914801789183,0.08489413561622972,0.7096888247416069,-0.09183071760804662,-0.4451759039634772,0.261514468747384,-0.10740641442866933,-0.46901582687657345,0.2542029980192348,0.449174068165806,0.163708471626536,0.734639664705076,0.3216866258938499,0.017409697097863275,0.6259635546898366,0.10920316544393871,-0.17927338526037656,0.397679716148254
45.79630895420374,0.3324272040322681,0.041899368729941044,0.6229550393345952,-0.004578289347134112,-0.21351906790088113,0.2043624892066129,0.3079756904921088,0.0504228154140845,0.5655285655701332,0.4075690374151118,0.1043643663308928,0.7107737084993309,-0.10162977456054911,-0.4355234266857221,0.23226387756462386,-0.11650473262650435,-0.4582076679641235,0.2251982027111148,0.454171951824039,0.17488530029319044,0.7334586033548876,0.3338242055349005,0.03850099706380533,0.6291474140059956,0.12585718229299558,-0.15413059351301772,0.4058449580990089
47.01477012689832,0.35095044143643644,0.07265234564995399,0.6292485372229188,-0.006345121875939275,-0.20207923376065431,0.18938899000877576,0.3308249660271916,0.08411375288659706,0.5775361791677861,0.4177880112525388,0.12360402764737333,0.7119719948577042,-0.10999903291840141,-0.4271435503266918,0.207145484489889,-0.12361138634484431,-0.448173449249889,0.20095067656020038,0.45915177790626494,0.18597824608107288,0.732325309731457,0.34591767780825267,0.059380674244235376,0.63245468137227,0.14250604375834963,-0.12915177388946691,0.4141638614061662
48.23323129959291,0.3692920806802432,0.10280761784130288,0.6357765435191836,-0.008165941645462249,-0.19199132328414945,0.17565943999322495,0.3535318594689735,0.1172934298659348,0.5897702890720121,0.4279360986776377,0.14258734109389387,0.7132848562613816,-0.11644284637324387,-0.4190039040048532,0.18611821125836547,-0.12811133618736587,-0.43774885356315957,0.18152618118842784,0.4641098439575895,0.19697932635757015,0.7312403615576089,0.35795765697808934,0.08002621772442137,0.6358890962317574,0.15914751021437273,-0.1043516096349058,0.4226466300636513
