Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0,0.0,0.013453326682677274,0.002225443147068983,6.672449134216533e-06,6.672449134216533e-06,6.672449134216533e-06,0.0,0.017921907997262315,0.0
1,0.0,0.01909933150174009,-0.001961474459144891,-0.003172798745345696,-0.00013542733066026794,-0.00013542733066026794,0.0,0.0,0.0
2,-0.007649883168444964,0.020235488401988754,-0.0016794973966794862,0.0018104169128936782,0.00017081052955614405,0.00017081052955614405,0.0,0.0,0.0
3,-0.0072315692310758635,0.01063822732732532,-0.001961795494258182,0.0008755142984312865,-0.00038837768668142816,-0.00038837768668142816,0.0,0.0,0.0
4,0.0,0.019104077232527907,-0.0019619560118419375,0.0010018346101612174,-0.00013547542501019682,-0.00013547542501019682,0.0,0.014355292977070054,0.0
5,-0.004748088415443274,0.016274208654291925,0.0015284468095710865,0.41555193443085275,0.41555193443085275,0.41555193443085275,0.020464102559715532,0.0,0.0
6,0.004764116509774755,0.027611389679336986,0.00013316570391323857,-4.805364279834213e-05,-4.805364279834213e-05,-4.805364279834213e-05,0.0,0.0,0.0
7,-0.004748088415443274,0.036176753110700025,0.0015284468095710865,-0.00029805036099369095,0.0005143321390983276,0.0005143321390983276,0.0,0.0,0.0
8,0.0,0.019104077232527907,-0.0019619560118419375,-0.00013547542501019682,-0.00013547542501019682,-0.00013547542501019682,0.0,0.0,0.0
9,0.004764116509774755,0.027611389679336986,0.00013316570391323857,0.00038947508426937465,-4.805364279834213e-05,-4.805364279834213e-05,0.0,0.0,0.0
10,0.0,0.019104077232527907,-0.0019619560118419375,-0.0024129043470443577,-0.00013547542501019682,-0.00013547542501019682,0.0,0.0,0.0
11,0.0,0.0022224421620449684,-0.0019609929066089007,-0.00023036869978592092,-0.00023036869978592092,-0.00023036869978592092,0.0,0.0,0.0
12,-0.007731636841243449,0.01797104109132729,0.0016655996704660933,0.0009625533945434587,-1.783480582957398e-05,-1.783480582957398e-05,0.0,0.0,0.0
13,0.004759307341953563,0.030461985274524088,-0.001958375776071256,-0.0008282191873643972,0.0001611964835418337,0.0001611964835418337,0.0,0.0,0.0
14,0.0,0.0022224421620449684,-0.0019609929066089007,0.00024367465754749417,-0.00023036869978592092,-0.00023036869978592092,0.0,0.0,0.0
