Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.09
0.0005,0.22,0.0,0.13,0.18,0.27,0.26,0.28,0.27,0.3
0.001,0.22,0.0,0.28,0.41,0.41,0.4,0.47,0.44,0.47
0.0015,0.22,0.01,0.48,0.59,0.69,0.69,0.69,0.64,0.68
0.002,0.22,0.03,0.63,0.7,0.75,0.76,0.73,0.69,0.73
0.0025,0.22,0.03,0.74,0.77,0.84,0.86,0.85,0.8,0.86
0.003,0.25,0.03,0.77,0.8,0.87,0.89,0.86,0.81,0.87
0.0035,0.28,0.05,0.79,0.8,0.87,0.89,0.87,0.81,0.87
0.004,0.37,0.08,0.83,0.8,0.87,0.89,0.87,0.81,0.87
0.0045,0.45,0.08,0.84,0.8,0.87,0.89,0.87,0.82,0.88
0.005,0.47,0.13,0.84,0.8,0.87,0.89,0.87,0.82,0.88
0.0055,0.55,0.13,0.84,0.8,0.87,0.89,0.88,0.82,0.88
0.006,0.59,0.13,0.84,0.8,0.87,0.89,0.88,0.82,0.88
0.0065,0.59,0.13,0.84,0.8,0.87,0.89,0.88,0.82,0.88
0.007,0.62,0.13,0.84,0.8,0.87,0.89,0.89,0.83,0.88
0.0075,0.63,0.14,0.85,0.8,0.87,0.89,0.89,0.84,0.88
0.008,0.63,0.15,0.85,0.8,0.87,0.89,0.89,0.84,0.88
0.0085,0.63,0.19,0.85,0.8,0.87,0.89,0.89,0.84,0.88
0.009,0.64,0.28,0.85,0.8,0.87,0.89,0.89,0.85,0.88
0.0095,0.64,0.3,0.85,0.8,0.87,0.89,0.89,0.85,0.88
0.01,0.64,0.31,0.85,0.8,0.87,0.89,0.89,0.85,0.88
0.0105,0.64,0.33,0.85,0.8,0.87,0.89,0.89,0.85,0.88
0.011,0.64,0.33,0.85,0.8,0.87,0.89,0.89,0.85,0.88
0.0115,0.65,0.33,0.85,0.8,0.87,0.89,0.89,0.85,0.88
0.012,0.65,0.33,0.85,0.8,0.87,0.89,0.89,0.85,0.88
0.0125,0.65,0.34,0.85,0.8,0.87,0.89,0.89,0.85,0.88
0.013,0.65,0.35,0.85,0.8,0.87,0.89,0.89,0.85,0.88
0.0135,0.65,0.38,0.85,0.8,0.87,0.89,0.89,0.85,0.88
0.014,0.65,0.4,0.85,0.81,0.87,0.89,0.89,0.85,0.88
0.0145,0.65,0.43,0.85,0.81,0.87,0.89,0.89,0.85,0.88
0.015,0.65,0.46,0.85,0.81,0.87,0.89,0.89,0.85,0.88
0.0155,0.65,0.49,0.85,0.81,0.87,0.89,0.9,0.86,0.89
0.016,0.65,0.49,0.85,0.81,0.87,0.89,0.9,0.86,0.89
0.0165,0.65,0.49,0.85,0.81,0.87,0.89,0.9,0.86,0.89
0.017,0.65,0.53,0.85,0.81,0.87,0.89,0.9,0.86,0.89
0.0175,0.65,0.59,0.85,0.81,0.87,0.89,0.9,0.86,0.89
0.018,0.65,0.59,0.85,0.81,0.87,0.89,0.9,0.86,0.89
0.0185,0.65,0.6,0.85,0.81,0.87,0.89,0.9,0.86,0.89
0.019,0.65,0.64,0.85,0.81,0.87,0.89,0.9,0.86,0.89
0.0195,0.65,0.64,0.85,0.81,0.87,0.89,0.9,0.86,0.89
0.02,0.65,0.65,0.85,0.81,0.87,0.89,0.9,0.86,0.89
0.0205,0.65,0.65,0.85,0.81,0.87,0.89,0.9,0.86,0.89
0.021,0.65,0.65,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0215,0.65,0.69,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.022,0.65,0.69,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0225,0.65,0.69,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.023,0.65,0.74,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0235,0.65,0.74,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.024,0.65,0.74,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0245,0.65,0.75,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.025,0.65,0.75,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0255,0.65,0.78,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.026,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0265,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.027,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0275,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.028,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0285,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.029,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0295,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.03,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0305,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.031,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0315,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.032,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0325,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.033,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0335,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.034,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0345,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.035,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0355,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.036,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0365,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.037,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.0375,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
0.038,0.65,0.79,0.85,0.82,0.87,0.89,0.9,0.86,0.89
