Estimator,OE1_MEAN,OE1_STDEV,OE2_MEAN,OE2_STDEV
boeck2020/dar,-0.03249837586279802,0.36440615695556466,0.002026373882620456,0.06381283576203149
sun2021/default,-0.042876597340877357,0.3939726558440597,-0.011600208454154111,0.08178517542302817
schreiber2018/ismir2018,-0.04968092810624945,0.43099124331823696,-0.006190703110576396,0.0917877992100855
schreiber2018/cnn,-0.07140451930753895,0.4511618536610551,-0.0015744443089812659,0.07679161474833482
schreiber2018/fcn,-0.11198433499543022,0.4611041294021706,0.0014307025038486343,0.06793730089949758
boeck2015/tempodetector2016_default,-0.04286827420573862,0.4656046907169888,0.001282100787049817,0.06818011532498186
boeck2019/multi_task,-0.2417528703292822,0.4717072624581622,0.0018305631070387157,0.07390197821168462
schreiber2017/ismir2017,-0.1747830450188445,0.48379566109564714,-0.002368007519565686,0.08479250206290115
schreiber2014/default,-0.19289918848517956,0.49057654427322533,-0.009899188485179554,0.08383724120750669
boeck2019/multi_task_hjdb,-0.26597257942121744,0.4916527261205035,-0.0006124818185666451,0.0751244928265938
echonest/version_3_2_1,-0.17128148819092734,0.49995062173792665,-0.004359678879452379,0.11097913325435503
schreiber2017/mirex2017,-0.25972577918467593,0.500129960409774,-0.0009708916825124722,0.06955383131052693
oliveira2010/ibt,0.015078491323213903,0.5024754857331962,-0.011431283681113031,0.09802840290647194
klapuri2006/percival2014,-0.057759462611802245,0.5080798918952543,-0.003684275115408027,0.08184429985367322
percival2014/stem,-0.17881291601984636,0.5137944185062473,-0.0006429910184040646,0.07324924602519259
zplane/auftakt_v3,-0.08155217040639291,0.5193652925663739,-0.010061945410719855,0.10991509003618698
davies2009/mirex_qm_tempotracker,0.0791915294966929,0.5219101118016662,0.019832129485154403,0.07458218468808706
gkiokas2012/default,-0.13179802786007047,0.5595017099785946,-0.00013787786295509563,0.08202275140846399
scheirer1998/percival2014,-0.17718073588661692,0.5887684846900844,0.02227244338456836,0.15645952866666563
