Estimator,ternary,swing,no_ternary,no_swing,9/8,5/4,4/4,3/4,2/4,12/8
boeck2015/tempodetector2016_default,0.8064516129032258,0.9606741573033708,0.9628482972136223,0.9574209245742092,1.0,1.0,0.9698324022346368,0.8863636363636364,1.0,0.7777777777777778
davies2009/mirex_qm_tempotracker,0.8387096774193549,0.9438202247191011,0.9184726522187823,0.9099756690997567,1.0,0.5,0.9363128491620112,0.6818181818181818,0.8571428571428571,0.8148148148148148
echonest/version_3_2_1,0.45161290322580644,0.8033707865168539,0.8864809081527347,0.8880778588807786,0.5,0.5,0.9072625698324023,0.5909090909090909,0.5714285714285714,0.4444444444444444
gkiokas2012/default,0.8064516129032258,0.9382022471910112,0.9380804953560371,0.9330900243309003,0.75,1.0,0.9486033519553073,0.8181818181818182,0.7142857142857143,0.8148148148148148
klapuri2006/percival2014,0.7096774193548387,0.9101123595505618,0.936016511867905,0.9330900243309003,0.5,0.5,0.9530726256983241,0.75,0.7142857142857143,0.7407407407407407
oliveira2010/ibt,0.6451612903225806,0.8258426966292135,0.8823529411764706,0.8856447688564477,0.25,1.0,0.9016759776536313,0.6363636363636364,0.7142857142857143,0.7037037037037037
percival2014/stem,0.8064516129032258,0.9550561797752809,0.9484004127966976,0.9416058394160584,0.75,0.5,0.9631284916201117,0.7727272727272727,0.8571428571428571,0.8148148148148148
scheirer1998/percival2014,0.7096774193548387,0.8258426966292135,0.7708978328173375,0.7566909975669099,0.5,0.5,0.7899441340782123,0.5227272727272727,0.5714285714285714,0.7407407407407407
schreiber2014/default,0.5483870967741935,0.8764044943820225,0.9494324045407637,0.9501216545012166,0.5,1.0,0.9631284916201117,0.7272727272727273,1.0,0.5555555555555556
schreiber2017/ismir2017,0.6774193548387096,0.9044943820224719,0.9463364293085655,0.9452554744525548,0.5,1.0,0.9664804469273743,0.6590909090909091,0.8571428571428571,0.7037037037037037
schreiber2017/mirex2017,0.6774193548387096,0.9044943820224719,0.9473684210526315,0.9464720194647201,0.5,1.0,0.9664804469273743,0.6818181818181818,0.8571428571428571,0.7037037037037037
schreiber2018/cnn,0.8064516129032258,0.9550561797752809,0.9535603715170279,0.9476885644768857,0.75,1.0,0.9675977653631285,0.75,0.8571428571428571,0.8148148148148148
schreiber2018/fcn,0.8064516129032258,0.9550561797752809,0.9587203302373581,0.9537712895377128,0.5,1.0,0.9687150837988827,0.8409090909090909,0.8571428571428571,0.8518518518518519
schreiber2018/ismir2018,0.6451612903225806,0.898876404494382,0.9432404540763674,0.9416058394160584,0.5,1.0,0.9608938547486033,0.75,0.7142857142857143,0.6666666666666666
zplane/auftakt_v3,0.5161290322580645,0.8651685393258427,0.9019607843137255,0.8953771289537713,0.5,0.5,0.9162011173184358,0.7727272727272727,0.7142857142857143,0.5185185185185185
