Estimator,ternary,swing,no_ternary,no_swing,9/8,5/4,4/4,3/4,2/4,12/8
boeck2015/tempodetector2016_default,0.5806451612903226,0.797752808988764,0.7874097007223942,0.7773722627737226,0.75,0.5,0.7988826815642458,0.7272727272727273,0.5714285714285714,0.5555555555555556
boeck2019/multi_task,0.41935483870967744,0.601123595505618,0.7131062951496389,0.7262773722627737,0.75,0.0,0.7329608938547486,0.4318181818181818,0.7142857142857143,0.37037037037037035
boeck2019/multi_task_hjdb,0.3870967741935484,0.5280898876404494,0.6883384932920537,0.7116788321167883,0.75,0.0,0.7094972067039106,0.36363636363636365,0.7142857142857143,0.3333333333333333
davies2009/mirex_qm_tempotracker,0.5483870967741935,0.7078651685393258,0.7131062951496389,0.708029197080292,0.5,0.5,0.7240223463687151,0.6136363636363636,0.5714285714285714,0.5555555555555556
echonest/version_3_2_1,0.1935483870967742,0.42134831460674155,0.672858617131063,0.7092457420924574,0.25,0.5,0.6960893854748603,0.29545454545454547,0.5714285714285714,0.18518518518518517
gkiokas2012/default,0.5161290322580645,0.398876404494382,0.6666666666666666,0.718978102189781,0.5,1.0,0.6726256983240223,0.5454545454545454,0.7142857142857143,0.5185185185185185
klapuri2006/percival2014,0.5161290322580645,0.6123595505617978,0.7110423116615067,0.7250608272506083,0.5,0.5,0.7206703910614525,0.6136363636363636,0.7142857142857143,0.5185185185185185
oliveira2010/ibt,0.45161290322580644,0.651685393258427,0.6965944272445821,0.6970802919708029,0.25,1.0,0.7083798882681565,0.5454545454545454,0.7142857142857143,0.48148148148148145
percival2014/stem,0.4838709677419355,0.4943820224719101,0.6883384932920537,0.7226277372262774,0.75,0.5,0.6960893854748603,0.6136363636363636,0.7142857142857143,0.4444444444444444
scheirer1998/percival2014,0.45161290322580644,0.4550561797752809,0.5180598555211559,0.5291970802919708,0.5,0.5,0.5262569832402234,0.45454545454545453,0.5714285714285714,0.4444444444444444
schreiber2014/default,0.3548387096774194,0.42134831460674155,0.695562435500516,0.7420924574209246,0.25,0.0,0.7184357541899441,0.29545454545454547,0.7142857142857143,0.37037037037037035
schreiber2017/ismir2017,0.4838709677419355,0.5224719101123596,0.7110423116615067,0.7433090024330901,0.5,0.0,0.7374301675977654,0.36363636363636365,0.5714285714285714,0.48148148148148145
schreiber2017/mirex2017,0.5806451612903226,0.42696629213483145,0.6811145510835913,0.732360097323601,0.75,0.5,0.7016759776536313,0.3409090909090909,0.7142857142857143,0.5555555555555556
schreiber2018/cnn,0.7419354838709677,0.7471910112359551,0.7708978328173375,0.7749391727493917,0.75,0.5,0.7854748603351955,0.5681818181818182,0.7142857142857143,0.7407407407407407
schreiber2018/fcn,0.6774193548387096,0.7078651685393258,0.7564499484004128,0.7639902676399026,0.0,0.0,0.7698324022346369,0.5681818181818182,0.5714285714285714,0.7777777777777778
schreiber2018/ismir2018,0.5161290322580645,0.7584269662921348,0.782249742002064,0.7773722627737226,0.5,1.0,0.8,0.5681818181818182,0.5714285714285714,0.5185185185185185
zplane/auftakt_v3,0.3548387096774194,0.5617977528089888,0.6904024767801857,0.7055961070559611,0.5,0.5,0.7005586592178771,0.6136363636363636,0.7142857142857143,0.3333333333333333
