Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02
0.0005,0.18,0.0,0.04,0.04,0.08,0.08,0.08,0.06,0.06
0.001,0.18,0.0,0.1,0.04,0.12,0.12,0.12,0.08,0.08
0.0015,0.18,0.0,0.24,0.12,0.2,0.2,0.16,0.12,0.12
0.002,0.18,0.0,0.36,0.14,0.22,0.22,0.24,0.12,0.14
0.0025,0.2,0.02,0.38,0.14,0.26,0.26,0.26,0.16,0.16
0.003,0.22,0.04,0.4,0.14,0.28,0.28,0.28,0.18,0.18
0.0035,0.24,0.04,0.44,0.14,0.3,0.32,0.32,0.2,0.2
0.004,0.26,0.04,0.5,0.16,0.3,0.32,0.34,0.22,0.2
0.0045,0.3,0.04,0.52,0.18,0.3,0.32,0.34,0.22,0.2
0.005,0.3,0.08,0.54,0.18,0.3,0.32,0.36,0.24,0.22
0.0055,0.34,0.08,0.54,0.18,0.32,0.34,0.38,0.26,0.24
0.006,0.36,0.08,0.6,0.2,0.32,0.34,0.38,0.28,0.26
0.0065,0.36,0.08,0.6,0.2,0.34,0.36,0.38,0.3,0.28
0.007,0.4,0.08,0.64,0.2,0.36,0.38,0.42,0.34,0.32
0.0075,0.48,0.08,0.66,0.2,0.38,0.4,0.42,0.36,0.34
0.008,0.52,0.1,0.68,0.22,0.42,0.42,0.44,0.38,0.36
0.0085,0.56,0.1,0.68,0.22,0.44,0.46,0.44,0.4,0.38
0.009,0.6,0.1,0.68,0.24,0.44,0.46,0.44,0.4,0.38
0.0095,0.64,0.1,0.72,0.26,0.46,0.48,0.44,0.42,0.4
0.01,0.64,0.1,0.72,0.26,0.46,0.48,0.46,0.44,0.4
0.0105,0.66,0.12,0.76,0.26,0.46,0.48,0.48,0.46,0.42
0.011,0.66,0.14,0.76,0.26,0.46,0.48,0.48,0.46,0.42
0.0115,0.66,0.14,0.76,0.26,0.48,0.48,0.48,0.46,0.42
0.012,0.68,0.14,0.76,0.26,0.5,0.5,0.5,0.48,0.42
0.0125,0.68,0.16,0.76,0.26,0.5,0.5,0.5,0.48,0.42
