Estimator,rock,reggae,pop,metal,jazz,hip-hop,disco,country,classical,blues
boeck2015/tempodetector2016_default,0.65,0.64,0.84,0.66,0.49,0.91,0.93,0.75,0.48,0.58
davies2009/mirex_qm_tempotracker,0.58,0.4,0.74,0.62,0.44,0.93,0.89,0.53,0.19,0.55
echonest/version_3_2_1,0.68,0.62,0.75,0.68,0.57,0.93,0.91,0.63,0.37,0.56
gkiokas2012/default,0.64,0.65,0.77,0.66,0.66,0.82,0.94,0.82,0.46,0.64
klapuri2006/percival2014,0.66,0.55,0.78,0.76,0.62,0.96,0.92,0.68,0.34,0.63
oliveira2010/ibt,0.62,0.4,0.73,0.68,0.43,0.96,0.91,0.51,0.26,0.51
percival2014/stem,0.71,0.77,0.83,0.81,0.75,0.97,0.93,0.77,0.45,0.7
scheirer1998/percival2014,0.57,0.56,0.59,0.57,0.45,0.77,0.76,0.61,0.24,0.46
schreiber2014/default,0.71,0.77,0.84,0.74,0.78,0.96,0.93,0.79,0.45,0.63
schreiber2017/ismir2017,0.68,0.59,0.74,0.79,0.65,0.96,0.92,0.67,0.46,0.58
schreiber2017/mirex2017,0.69,0.6,0.74,0.79,0.7,0.96,0.92,0.68,0.47,0.57
schreiber2018/cnn,0.71,0.68,0.83,0.67,0.54,0.94,0.91,0.71,0.42,0.61
schreiber2018/fcn,0.7,0.76,0.84,0.67,0.59,0.95,0.9,0.67,0.47,0.61
schreiber2018/ismir2018,0.67,0.54,0.82,0.73,0.5,0.93,0.91,0.67,0.44,0.53
zplane/auftakt_v3,0.66,0.63,0.77,0.7,0.58,0.94,0.91,0.68,0.34,0.58
