Estimator,Accuracy1,Accuracy2
schreiber2018/fcn,0.8986384266263238,0.9803328290468987
boeck2020/dar,0.8744326777609682,0.9697428139183056
schreiber2018/cnn,0.8638426626323752,0.9757942511346445
schreiber2017/mirex2017,0.8260211800302572,0.9606656580937972
schreiber2018/ismir2018,0.8245083207261724,0.9757942511346445
boeck2019/multi_task_hjdb,0.7670196671709532,0.962178517397882
boeck2019/multi_task,0.7004538577912254,0.962178517397882
schreiber2017/ismir2017,0.6898638426626323,0.9561270801815431
boeck2015/tempodetector2016_default,0.6384266263237519,0.9409984871406959
schreiber2014/default,0.6051437216338881,0.9319213313161876
percival2014/stem,0.5703479576399395,0.9606656580937972
davies2009/mirex_qm_tempotracker,0.3540090771558245,0.5325264750378215
