Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0,-0.4051220304137614,0.008432485995880963,0.008432485995880963,0.43300854037017095,0.009795239268705765,0.00878211294335248,0.008132078722995215,0.008132078722995215,0.008267615983600572,0.0,0.008267615983600572
1,-0.014355292977070054,0.002711431212763305,0.0018557401788469898,0.0047487842554576176,-0.009329052980369124,-0.003157741720295561,-0.00259346711248151,-0.00259346711248151,0.0,0.0,0.0
2,0.00549046274753558,0.013532951641864962,0.012915887885285336,0.4350813332241681,0.011866273404001043,0.010856276360557346,0.010450245334062677,0.010450245334062677,0.010341944221458961,0.010341944221458961,0.010341944221458961
3,0.008888096132200913,0.005662393187730457,0.008243532269859058,0.43337960680416554,0.001667051308266115,-0.0001611369614836671,-0.0001611369614836671,-0.0001611369614836671,0.00808234629785853,0.0,0.0
4,-0.017921907997262457,-0.015579431303083471,-0.0159395648648359,-0.004468581314585076,-0.015696464850193572,-0.01827090206844963,-0.017915325716154177,-0.017915325716154177,-0.017921907997262457,-0.017921907997262457,-0.017921907997262457
5,-0.0006634605961439046,0.0013260065647534827,-0.0013272264421701175,0.034458605558681084,-0.002379921334930202,-0.0003447955654340049,-0.0003447955654340049,-0.0003447955654340049,0.0,0.0,0.0
6,-0.015119816927750678,-0.0075915295004923625,-0.008517554234921171,0.025908417656872972,-0.008744006271284922,-0.010160034341223258,-0.010566385814820767,-0.010566385814820767,-0.010268335453827113,-0.010268335453827113,-0.010268335453827113
7,-0.02290040211007877,-0.010717929152688448,-0.011404763272249362,-0.010855269820209868,-0.010855269820209868,-0.011702767823938481,-0.011251341957619709,-0.011251341957619709,-0.011404763272249362,-0.011404763272249362,-0.011404763272249362
8,0.011145087252848762,0.0038224898610852,0.007732499818314323,0.43526935859258314,0.011583263426570867,0.00992216405158226,0.00992216405158226,0.00992216405158226,0.009781020792585396,0.009781020792585396,0.009781020792585396
9,0.017373771576956843,0.004432246315260553,0.0024024902153046137,0.04997920270779139,0.01106069496810915,0.00853212176077499,0.00925694012488297,0.00925694012488297,0.009218530029378632,0.0,0.0
10,-0.002853654920838868,-0.007796029399038455,-0.004499232513442387,0.4281134980720881,-0.0025195721163206305,0.00016421599930443458,0.00016421599930443458,0.00016421599930443458,0.0,0.0,0.0
11,0.00549046274753558,0.009723513816523319,0.009414199173732925,-0.36852215187462384,0.011870391031030249,0.010450245334062677,0.010043893860465409,0.010043893860465409,0.010341944221458961,0.010341944221458961,0.010341944221458961
12,0.012084854709155771,0.016957693744843953,0.010990405058935079,0.43414073903060224,0.013101107328228051,0.08080884649332658,0.006808197477651024,0.006808197477651024,0.00846157874819607,0.016873818564396122,0.00846157874819607
13,-0.0006634605961439046,0.0004973952957007349,-0.001991297819091524,0.009795239268705765,-0.002379921334930202,0.0003092342414516489,-0.0003447955654340049,-0.0003447955654340049,0.0,0.0,0.0
14,-0.4051220304137614,0.011067847004316147,0.008267615983600572,0.03445698642593558,0.009795239268705765,0.007481817472794531,0.008132078722995215,0.008132078722995215,0.008267615983600572,0.008267615983600572,0.0
15,0.00549046274753558,0.009620416303999796,0.010032762156292667,0.4350813332241681,0.011870391031030249,0.010856379373467923,0.010043893860465409,0.010043893860465409,0.010341944221458961,0.010341944221458961,0.010341944221458961
16,-0.02531558403363914,-0.025832660502702408,-0.026349922363640754,0.43074663240528815,-0.01893565575014458,0.22455346281981323,-0.020355801447111754,-0.020355801447111754,-0.020464102559715577,-0.020464102559715577,-0.020464102559715577
17,0.0,0.00019234651596904814,-0.0004809785145030927,0.01909933150174009,-0.001961474459144891,0.0013806715437524287,-0.00013542733066026794,-0.00013542733066026794,0.009586048829197932,0.0,0.0
18,0.00549046274753558,0.010857100463636644,0.01147504523645761,0.4350813332241681,0.011866273404001043,0.010450245334062677,0.010450245334062677,0.010450245334062677,0.010341944221458961,0.010341944221458961,0.010341944221458961
19,0.004759307341953563,-0.0037684698159125875,-0.0031397075305672497,0.4454964137840109,-0.001958375776071256,-0.00033336379256503746,-0.00033336379256503746,-0.00033336379256503746,0.0,0.0,0.0
20,-0.0006634605961439046,0.002319712291714628,0.0004973952957007349,0.43300854037017095,-0.002379921334930202,-0.000998956062075347,0.0003092342414516489,0.0003092342414516489,0.0,0.0,0.0
21,0.012084854709155771,-0.0013584700070487584,-0.0031434053311306747,0.43414073903060224,0.00117743746253245,-0.15216841879620402,-0.15216841879620402,-0.15216841879620402,0.0,-0.008511499855517406,0.0
22,-0.007745420686653617,-0.009917035735378036,-0.01048905709051427,0.024766406620897706,-0.010855269820209868,-0.011702767823938481,-0.011251341957619709,-0.011251341957619709,-0.011404763272249362,-0.011404763272249362,-0.011404763272249362
23,0.0,-0.0034666297197792706,-0.004045212057948573,0.012045132289868915,-0.0010853148002784307,-0.00013561970806976338,-0.00013561970806976338,-0.00013561970806976338,0.0,0.0,0.0
24,-0.007745420686653617,-0.011519267422544735,-0.01037463467376006,0.4398094891172942,-0.010855269820209868,-0.011702767823938481,-0.011251341957619709,-0.011251341957619709,-0.011404763272249362,-0.011404763272249362,-0.011404763272249362
25,0.032122483322135964,0.009879094886732791,0.01636943552039439,0.03245656612665403,0.015110488059717282,0.017320708986921847,0.017320708986921847,0.017320621534288025,0.017594060014738132,0.017594060014738132,0.017594060014738132
26,0.00549046274753558,0.007143863161597955,0.00869220700236616,0.4350813332241681,0.011866273404001043,0.010043893860465409,0.010450245334062677,0.010450245334062677,0.010341944221458961,0.010341944221458961,0.010341944221458961
