Tolerance (%),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,0.02553191489361702,0.0,0.00425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.13191489361702127,0.11063829787234042,0.11914893617021277
0.0005,0.2425531914893617,0.06382978723404255,0.17872340425531916,0.05106382978723404,0.0,0.059574468085106386,0.13191489361702127,0.13617021276595745,0.18723404255319148,0.28936170212765955,0.2723404255319149,0.2425531914893617
0.001,0.24680851063829787,0.1276595744680851,0.3276595744680851,0.1148936170212766,0.0,0.08936170212765958,0.20851063829787234,0.28085106382978725,0.34893617021276596,0.41702127659574467,0.4,0.37446808510638296
0.0015,0.24680851063829787,0.20851063829787234,0.5063829787234042,0.1574468085106383,0.0,0.14468085106382977,0.2851063829787234,0.3659574468085106,0.4425531914893617,0.5872340425531914,0.5446808510638298,0.46808510638297873
0.002,0.24680851063829787,0.23829787234042554,0.6085106382978723,0.251063829787234,0.00425531914893617,0.1702127659574468,0.34893617021276596,0.451063829787234,0.5531914893617021,0.6340425531914894,0.574468085106383,0.4978723404255319
0.0025,0.24680851063829787,0.2936170212765957,0.6851063829787234,0.30638297872340425,0.00425531914893617,0.225531914893617,0.3829787234042553,0.502127659574468,0.6212765957446809,0.676595744680851,0.625531914893617,0.548936170212766
0.003,0.24680851063829787,0.3276595744680851,0.774468085106383,0.3617021276595745,0.01276595744680851,0.24680851063829787,0.41702127659574467,0.5531914893617021,0.6936170212765957,0.723404255319149,0.6893617021276596,0.6085106382978723
0.0035,0.2553191489361702,0.34893617021276596,0.851063829787234,0.41702127659574467,0.01276595744680851,0.26382978723404255,0.4553191489361702,0.5787234042553191,0.723404255319149,0.7617021276595745,0.7319148936170212,0.6468085106382979
0.004,0.2553191489361702,0.4085106382978723,0.8978723404255319,0.4851063829787234,0.01276595744680851,0.2680851063829787,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.8170212765957446,0.7659574468085106,0.6723404255319149
0.0045,0.2553191489361702,0.4425531914893617,0.9276595744680851,0.5404255319148936,0.01702127659574468,0.2765957446808511,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.8382978723404255,0.7872340425531915,0.6893617021276596
0.005,0.2553191489361702,0.4595744680851064,0.948936170212766,0.574468085106383,0.02127659574468085,0.2765957446808511,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.8425531914893617,0.8,0.6936170212765957
0.0055,0.28936170212765955,0.48936170212765956,0.9531914893617022,0.6425531914893617,0.02127659574468085,0.28085106382978725,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.8638297872340426,0.8595744680851064,0.7829787234042553
0.006,0.3446808510638298,0.5063829787234042,0.9702127659574468,0.7106382978723405,0.02127659574468085,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.8851063829787233,0.8851063829787233,0.8212765957446808
0.0065,0.5319148936170213,0.5234042553191489,0.9787234042553191,0.7531914893617021,0.02127659574468085,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.8936170212765957,0.9063829787234042,0.8382978723404255
0.007,0.6808510638297872,0.5574468085106383,0.9914893617021276,0.7829787234042553,0.029787234042553193,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9234042553191489,0.9276595744680851,0.8723404255319149
0.0075,0.6978723404255319,0.5659574468085107,0.9957446808510638,0.8,0.029787234042553193,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9404255319148936,0.9574468085106383,0.8978723404255319
0.008,0.6978723404255319,0.5829787234042553,0.9957446808510638,0.8127659574468085,0.029787234042553193,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9404255319148936,0.9659574468085106,0.9063829787234042
0.0085,0.6978723404255319,0.6,0.9957446808510638,0.8468085106382979,0.03404255319148936,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.009,0.7021276595744681,0.6042553191489362,0.9957446808510638,0.8851063829787233,0.05531914893617021,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0095,0.7063829787234043,0.6085106382978723,0.9957446808510638,0.9106382978723404,0.07234042553191489,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.01,0.7106382978723405,0.6170212765957447,1.0,0.9319148936170213,0.07234042553191489,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0105,0.7148936170212766,0.6297872340425532,1.0,0.9574468085106383,0.08085106382978724,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.011,0.723404255319149,0.6425531914893617,1.0,0.9702127659574468,0.09361702127659574,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0115,0.7361702127659574,0.6553191489361702,1.0,0.9872340425531915,0.2,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
