Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
boeck2015/tempodetector2016_default,1.0,0.00761041890699512,0.002808703296285964,9.501298418780724e-07,2.5562465642427826e-17,0.917585959750084,0.31711054883893974,0.7242075156602055,0.03544225681873265,0.6264270468119086,0.560032893778173,0.993574920357098,0.028959316013350413
boeck2019/multi_task,0.00761041890699512,1.0,0.5861080704800392,0.001690028452120679,3.3199698553827663e-21,0.0002463096675981335,0.017247498781708274,0.0014708108758294501,0.29727938099985496,0.007429080995054421,0.01412914086240395,0.0014806456903842565,0.3734105042635868
boeck2019/multi_task_hjdb,0.002808703296285964,0.5861080704800392,1.0,0.005982238482785853,1.2533809090609956e-22,4.700150482702304e-05,0.0033183587130406725,0.0002689660749867924,0.16254069074845853,0.002045448368532498,0.0055023921385118635,0.00029453892205021185,0.21671756063020642
boeck2020/dar,9.501298418780724e-07,0.001690028452120679,0.005982238482785853,1.0,1.839607024511373e-26,4.785620932035528e-08,3.79798472049368e-06,1.8768583703444657e-07,0.0006498652629830627,8.049754329862712e-07,1.1447637376862177e-06,2.0219010512713472e-07,0.0011469401559917383
davies2009/mirex_qm_tempotracker,2.5562465642427826e-17,3.3199698553827663e-21,1.2533809090609956e-22,1.839607024511373e-26,1.0,1.1206566485303736e-23,1.3281444070088695e-25,3.876573104947245e-23,7.240174695207823e-23,3.338781462972353e-25,2.5936274087041273e-21,9.07818588166622e-24,1.6104765709806718e-27
percival2014/stem,0.917585959750084,0.0002463096675981335,4.700150482702304e-05,4.785620932035528e-08,1.1206566485303736e-23,1.0,0.08201991631253475,0.5074188332371229,0.011595863267626372,0.44720124607390477,0.4224759752801187,0.8930961431244465,0.004129702452304718
schreiber2014/default,0.31711054883893974,0.017247498781708274,0.0033183587130406725,3.79798472049368e-06,1.3281444070088695e-25,0.08201991631253475,1.0,0.2736603369511629,0.21253577070429114,0.3600603541928785,0.5564177435223683,0.1016033655205599,0.12743770392920417
schreiber2017/ismir2017,0.7242075156602055,0.0014708108758294501,0.0002689660749867924,1.8768583703444657e-07,3.876573104947245e-23,0.5074188332371229,0.2736603369511629,1.0,0.021159744551699,0.8764930400935615,0.8017583525642284,0.6324921140420167,0.029569032624018773
schreiber2017/mirex2017,0.03544225681873265,0.29727938099985496,0.16254069074845853,0.0006498652629830627,7.240174695207823e-23,0.011595863267626372,0.21253577070429114,0.021159744551699,1.0,0.06509621901774047,0.1047973356712078,0.01972083024622679,0.9163401489952945
schreiber2018/cnn,0.6264270468119086,0.007429080995054421,0.002045448368532498,8.049754329862712e-07,3.338781462972353e-25,0.44720124607390477,0.3600603541928785,0.8764930400935615,0.06509621901774047,1.0,0.8919554276401388,0.4228726736664863,0.02078013958950525
schreiber2018/fcn,0.560032893778173,0.01412914086240395,0.0055023921385118635,1.1447637376862177e-06,2.5936274087041273e-21,0.4224759752801187,0.5564177435223683,0.8017583525642284,0.1047973356712078,0.8919554276401388,1.0,0.48139980179486186,0.06770788325034234
schreiber2018/ismir2018,0.993574920357098,0.0014806456903842565,0.00029453892205021185,2.0219010512713472e-07,9.07818588166622e-24,0.8930961431244465,0.1016033655205599,0.6324921140420167,0.01972083024622679,0.4228726736664863,0.48139980179486186,1.0,0.0026032153791038562
sun2021/default,0.028959316013350413,0.3734105042635868,0.21671756063020642,0.0011469401559917383,1.6104765709806718e-27,0.004129702452304718,0.12743770392920417,0.029569032624018773,0.9163401489952945,0.02078013958950525,0.06770788325034234,0.0026032153791038562,1.0
