Estimator,OE1_MEAN,OE1_STDEV,OE2_MEAN,OE2_STDEV
boeck2020/dar,-0.031842718679020346,0.5132423238113608,0.003111025563934287,0.14010846517689746
boeck2019/multi_task_hjdb,0.023267140607821066,0.5676488098115533,-0.012816154316407919,0.16305451154476905
schreiber2018/ismir2018,0.3748113237651007,0.5772367889456389,-0.015071222361051564,0.22567635582192058
schreiber2018/cnn,0.3679506573545932,0.5783320261508236,-0.004281773570832318,0.19566802287620388
boeck2019/multi_task,-0.01769201234890696,0.5818396717064211,0.0015242318973709866,0.14739846248235033
schreiber2014/default,0.24629790710413077,0.5906968548783662,-0.021419777250929504,0.1942303971710889
percival2014/stem,0.3198169769059888,0.6156124333137197,0.007145893923447076,0.2074249448724066
schreiber2018/fcn,0.31471140132955033,0.6172315691456162,-0.013350695491169419,0.20535100524302052
schreiber2017/ismir2017,0.26031357030196395,0.6226535804663113,-0.01775025459612188,0.19875458257336903
schreiber2017/mirex2017,0.10171892722235584,0.6318590287725234,-0.020792420707234725,0.19027998000370364
davies2009/mirex_qm_tempotracker,0.869310137406171,0.6634030545666408,0.050585886091255625,0.2209227230072141
boeck2015/tempodetector2016_default,0.3676260997913334,0.6920849865282942,0.023389924609660093,0.14601809962040202
