Estimator,OE1_MEAN,OE1_STDEV,OE2_MEAN,OE2_STDEV
boeck2020/dar,-0.003940475417425398,0.010675547051572839,-0.003940475417425398,0.010675547051572839
boeck2019/multi_task_hjdb,0.0026940321459722263,0.010708656635529262,0.0026940321459722263,0.010708656635529262
schreiber2018/fcn,-0.031002170986059764,0.17928489325594493,0.003040382205429603,0.011338079326915985
schreiber2018/cnn,-0.05229967959834939,0.22865466841580942,0.0030194693378208194,0.011180013526803298
boeck2015/tempodetector2016_default,-0.07464768630015417,0.27057962978608363,0.00018194136248903973,0.007498776568293154
schreiber2018/ismir2018,-0.08070161650274868,0.2804746929370009,0.00440476647597474,0.020494019718576114
boeck2019/multi_task,-0.14115206681191075,0.3502599107900795,0.0035287842519190213,0.07404111023728106
davies2009/mirex_qm_tempotracker,-0.32263196261635674,0.41972454130056025,0.1028999522772603,0.16950587431852024
schreiber2017/mirex2017,-0.25275941274274777,0.4330289948131338,0.0025597361934224325,0.04130246399065842
percival2014/stem,-0.7129793192870736,0.4505455124872757,0.0019142977342031528,0.010605073636649219
schreiber2017/ismir2017,-0.40169558272637623,0.4878192556385754,0.002559736422559985,0.04130246422823365
schreiber2014/default,-0.5288486302794854,0.49684481894028815,0.00306626333753589,0.03324525671579225
