T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.010542168674698794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.02710843373493976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.04969879518072289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.04969879518072289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.04969879518072289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.05120481927710843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.05120481927710843,0.0,0.0,0.0015060240963855422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.05120481927710843,0.0,0.0,0.0015060240963855422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.05271084337349398,0.0,0.0,0.0015060240963855422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.05271084337349398,0.0,0.0,0.0015060240963855422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,0.04216867469879518,0.0,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.025602409638554216,0.0,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.004518072289156626,0.0,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.004518072289156626,0.0,0.0,0.0030120481927710845,0.0,0.0015060240963855422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.010542168674698794,0.0,0.0,0.0030120481927710845,0.0,0.0015060240963855422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.01355421686746988,0.0,0.0,0.004518072289156626,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,0.01355421686746988,0.0015060240963855422,0.0,0.0030120481927710845,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.0,0.0015060240963855422
54.0,0.015060240963855422,0.0015060240963855422,0.0015060240963855422,0.004518072289156626,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.0,0.0015060240963855422
55.0,0.01957831325301205,0.0015060240963855422,0.0015060240963855422,0.004518072289156626,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.0,0.0030120481927710845
56.0,0.01957831325301205,0.0015060240963855422,0.0015060240963855422,0.004518072289156626,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.0,0.0030120481927710845
57.0,0.030120481927710843,0.0015060240963855422,0.0015060240963855422,0.004518072289156626,0.0,0.004518072289156626,0.0,0.0,0.0,0.0,0.0,0.0,0.0030120481927710845
58.0,0.030120481927710843,0.0030120481927710845,0.0030120481927710845,0.006024096385542169,0.0,0.006024096385542169,0.0,0.0,0.0,0.0,0.0030120481927710845,0.0,0.007530120481927711
59.0,0.07078313253012049,0.004518072289156626,0.006024096385542169,0.007530120481927711,0.0030120481927710845,0.02108433734939759,0.006024096385542169,0.0015060240963855422,0.0,0.0,0.0030120481927710845,0.0,0.007530120481927711
60.0,0.07379518072289157,0.004518072289156626,0.006024096385542169,0.007530120481927711,0.010542168674698794,0.01957831325301205,0.006024096385542169,0.0015060240963855422,0.0,0.0,0.0030120481927710845,0.0,0.007530120481927711
61.0,0.07530120481927711,0.004518072289156626,0.006024096385542169,0.007530120481927711,0.01355421686746988,0.024096385542168676,0.006024096385542169,0.0015060240963855422,0.0,0.0,0.0030120481927710845,0.0,0.007530120481927711
62.0,0.07379518072289157,0.004518072289156626,0.006024096385542169,0.006024096385542169,0.016566265060240965,0.025602409638554216,0.007530120481927711,0.0015060240963855422,0.0,0.0015060240963855422,0.0030120481927710845,0.0,0.007530120481927711
63.0,0.07530120481927711,0.0030120481927710845,0.006024096385542169,0.009036144578313253,0.018072289156626505,0.0286144578313253,0.007530120481927711,0.0015060240963855422,0.0,0.0015060240963855422,0.0030120481927710845,0.0,0.009036144578313253
64.0,0.0783132530120482,0.004518072289156626,0.004518072289156626,0.009036144578313253,0.018072289156626505,0.03313253012048193,0.010542168674698794,0.0030120481927710845,0.0015060240963855422,0.0015060240963855422,0.0030120481927710845,0.0015060240963855422,0.012048192771084338
65.0,0.10692771084337349,0.007530120481927711,0.009036144578313253,0.018072289156626505,0.018072289156626505,0.03614457831325301,0.045180722891566265,0.009036144578313253,0.0015060240963855422,0.012048192771084338,0.012048192771084338,0.007530120481927711,0.022590361445783132
66.0,0.10090361445783133,0.016566265060240965,0.012048192771084338,0.02108433734939759,0.03162650602409638,0.11295180722891567,0.0783132530120482,0.04066265060240964,0.0030120481927710845,0.012048192771084338,0.012048192771084338,0.007530120481927711,0.022590361445783132
67.0,0.09186746987951808,0.018072289156626505,0.01355421686746988,0.01957831325301205,0.03162650602409638,0.11295180722891567,0.08132530120481928,0.043674698795180725,0.007530120481927711,0.01355421686746988,0.01355421686746988,0.007530120481927711,0.022590361445783132
68.0,0.09789156626506024,0.022590361445783132,0.015060240963855422,0.01957831325301205,0.03614457831325301,0.12048192771084337,0.08283132530120482,0.045180722891566265,0.007530120481927711,0.01355421686746988,0.01355421686746988,0.007530120481927711,0.022590361445783132
69.0,0.0572289156626506,0.022590361445783132,0.012048192771084338,0.018072289156626505,0.03463855421686747,0.10692771084337349,0.08132530120481928,0.046686746987951805,0.009036144578313253,0.016566265060240965,0.01355421686746988,0.007530120481927711,0.02108433734939759
