Estimator,OE1_MEAN,OE1_STDEV,OE2_MEAN,OE2_STDEV
boeck2015/tempodetector2016_default,-0.03423678098259276,0.33654640887758874,-0.004574787736101061,0.06151887448885521
schreiber2018/ismir2018,0.008721908134821335,0.34808270934988056,-0.0029220670936523376,0.09604897994153265
schreiber2018/cnn,0.023785221322287702,0.355896446817494,0.003132237084805021,0.10992796926534373
boeck2020/dar,-0.013850329691620042,0.3567800918500323,-0.008580397252690712,0.06824158727504506
boeck2019/multi_task_hjdb,-0.026427596937697116,0.3720961678645149,-0.0031396464807497684,0.07087761636486946
oliveira2010/ibt,0.04689380400924578,0.38282768880318463,0.0018487589642007232,0.13504676827946438
boeck2019/multi_task,-0.020632936231706936,0.384089137573967,-0.002614918213688918,0.06912955313268018
klapuri2006/percival2014,0.020217495992034856,0.4177034009748661,-0.006809531034992175,0.11058477673032859
schreiber2018/fcn,-0.0028239488149591208,0.41934648660014706,0.002784666040160391,0.07583492545378742
schreiber2014/default,-0.16486964862277123,0.4220755885494304,-0.011716495469618076,0.09969102523624737
davies2009/mirex_qm_tempotracker,0.15046597387464347,0.4324014687499016,0.007425940081114322,0.1004779465881665
schreiber2017/ismir2017,-0.10716594418338392,0.4349473633268962,-0.00016194642589081924,0.0955509299251411
zplane/auftakt_v3,-0.021411729741842665,0.44112252816849645,-0.007898216228329152,0.12616185133416655
echonest/version_3_2_1,-0.1992656631446538,0.4416800635934115,-0.00657352513234086,0.09132085610039156
percival2014/stem,-0.09894565270565375,0.45677996150607236,0.009162455402454367,0.080994233576028
schreiber2017/mirex2017,-0.14133244309694132,0.4655934271583993,-0.0020314858734918444,0.1058963421863283
gkiokas2012/default,-0.03463247638738664,0.5383954379582081,0.007012174503768895,0.09042907632494518
scheirer1998/percival2014,-0.06207502621043659,0.5388270232436428,0.022830634166921906,0.17357704749604538
